camis,dba,boro,bin,bbl,cuisine_description
41547077,KFC,Queens,4010664,4006600065,Chicken
41547179,MTSKHETA CAFE,Brooklyn,3185807,3068690039,Russian
41547298,FRAUNCES TAVERN,Manhattan,1078965,1000070035,American
41547604,FENG'S GARDEN,Queens,4078799,4032927501,Chinese
41547684,PLANET WINGS,Staten Island,5007360,5002750054,Chicken
41547788,PETROSSIAN BOUTIQUE & CAFE,Manhattan,1023740,1010100061,French
41547909,OISHII SUSHI JAPAN,Queens,4015886,4008060029,Japanese
41548052,DUNKIN,Queens,4000000,4010950016,Donuts
41548070,POPEYES,Bronx,NULL,2,Chicken
41548181,YEDON,Queens,4138178,4062790021,Korean
41548238,TOP CHOICE JAMAICAN RESTAURANT,Bronx,2069778,2050420029,Caribbean
41548334,55 THOMAS CAFE,Manhattan,1001622,1001480015,American
41548430,MESA AZTECA,Brooklyn,3073274,3032220005,Mexican
41548669,FOOD LIN,Brooklyn,3021632,3009940002,Chinese
41548686,ABA TURKISH RESTAURANT,Manhattan,1026049,1010480019,Turkish
41548700,WEATHER UP,Manhattan,1001560,1001447503,American
41548756,JIN JIN HONG KONG CAFE,Brooklyn,3132769,3055320047,Chinese/Japanese
41548763,LA COMADRE MEXICAN RESTAURANT & BAKERY,Queens,4183067,4089040105,Mexican
41549019,RIVERDALE BAGELS,Bronx,2085158,2058630109,American
41549174,SUBWAY,Queens,4298249,4155600034,Sandwiches
41549226,16 HANDLES,Manhattan,1048568,1015270024,Frozen Desserts
41549281,DUNKIN,Manhattan,1013552,1007570022,Donuts
41549333,SATI'S ROTI SHOP,Queens,4253200,4117000003,Caribbean
41549526,JENNY'S ROTI SHOP,Bronx,2026929,2038230001,Caribbean
41549545,IL SOGNO ITALIANO RISTORANTE,Staten Island,5080616,5062570010,Italian
41549759,CHIPOTLE MEXICAN GRILL,Manhattan,1070014,1010287501,Tex-Mex
41549763,CHIPOTLE MEXICAN GRILL,Manhattan,1023394,1010080029,Tex-Mex
41549862,LUCIANO'S PIZZA,Bronx,2045446,2041270038,Pizza
41549885,GOOD TASTE CHINESE RESTAURANT,Bronx,2060614,2047350004,Chinese
41549888,SAGGIO RESTAURANT,Manhattan,1064343,1021790106,Italian
41550291,TERRACE INN,Queens,4128809,4057450002,American
41550532,SUNY MARITIME UNIVERSITY (S AND E CAFE),Bronx,2100430,2055300050,Coffee/Tea
41550602,THE PIT AT PEOPLES IMPROV THEATER,Manhattan,1018069,1008800014,American
41551165,SUNRISE MART,Manhattan,1035326,1012750064,Asian/Asian Fusion
41551299,FREDDY'S BAR,Brooklyn,3016737,3008730006,American
41551304,THE COUNTER,Manhattan,1086069,1009940001,American
41551354,PREMIUM SWEETS & RESTAURANT,Queens,4029769,4012830011,Bangladeshi
41551369,CHA PA'S VIETNAMESE EATERY,Manhattan,1075655,1010420040,Southeast Asian
41551945,LA BAGUETTE SHOP,Brooklyn,3116936,3050910001,Bakery Products/Desserts
41552060,PROSKAUER ROSE,Manhattan,1087978,1010137501,American
41552184,"NOM WAH TEA, DIM SUM PARLOR",Manhattan,1001701,1001620028,Chinese
41552204,MCDONALD'S,Bronx,2102455,2051411100,Hamburgers
41552224,BARNES & NOBLE CAFE,Manhattan,1016130,1008460030,Coffee/Tea
41552243,APPLEBEE'S,Queens,4010898,4006720001,American
41552525,MELTING POT CUISINE,Queens,4004340,4003550019,Caribbean
41552592,HAPPY GARDEN,Brooklyn,3003314,3003050032,Chinese
41552593,TARALLUCCI E VINO,Manhattan,1031202,1011960061,Italian
41553265,MARIA'S,Queens,4443816,4062380014,Greek
41553360,DUNKIN,Manhattan,1052379,1016460025,Donuts
41553479,XO RESTAURANT,Manhattan,1079528,1002030015,Chinese
41553996,SOL DE QUITO RESTAURANT,Brooklyn,3074525,3032700007,Spanish
41554120,BROOKS 1890 RESTAURANT,Queens,4436628,4000840007,Italian
41554263,POPEYES,Queens,4591612,4104720003,Chicken
